# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 5.00000000e+00
# Aref          : 5.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.0238095       	3.12815022e+02	1.56407511e+02	1.56407511e+02	-3.51772111e+00	-1.75899281e+00	-1.75872830e+00	-1.32256881e-04	-2.37327223e-19	-2.92678536e-18	-1.18818359e-19	-2.98619454e-18	2.86737618e-18
0.0502646       	-1.44616048e+02	-7.23080240e+01	-7.23080240e+01	2.00362501e+00	1.00162373e+00	1.00200128e+00	-1.88777212e-04	6.65975421e-20	1.69328083e-18	-1.82638944e-20	1.68414888e-18	-1.70241277e-18
0.078373        	5.57028346e-01	2.78514173e-01	2.78514173e-01	-3.11817045e-02	-1.57621013e-02	-1.54196032e-02	-1.71249049e-04	-8.58122549e-20	1.77821422e-19	8.96060387e-21	1.82301724e-19	-1.73341120e-19
0.106481        	2.66328314e+00	1.33164157e+00	1.33164157e+00	-3.50005383e-03	-1.93910033e-03	-1.56095350e-03	-1.89073417e-04	-8.31353872e-20	1.63473722e-19	6.68991212e-21	1.66818679e-19	-1.60128766e-19
0.136752        	3.26607212e+00	1.63303606e+00	1.63303606e+00	4.08307290e-03	1.84440077e-03	2.23867213e-03	-1.97135679e-04	-6.68723662e-20	1.58459020e-19	-4.48429174e-21	1.56216874e-19	-1.60701166e-19
0.167023        	3.47162336e+00	1.73581168e+00	1.73581168e+00	3.53044909e-03	1.49327981e-03	2.03716928e-03	-2.71944735e-04	-6.80035598e-20	1.57289738e-19	-2.16560418e-20	1.46461717e-19	-1.68117759e-19
0.197293        	3.46887169e+00	1.73443585e+00	1.73443585e+00	3.13744786e-03	1.26837415e-03	1.86907371e-03	-3.00349782e-04	-7.15842340e-20	1.54485918e-19	-2.06101469e-20	1.44180845e-19	-1.64790992e-19
0.227564        	3.39116621e+00	1.69558311e+00	1.69558311e+00	2.43289651e-03	9.45074608e-04	1.48782190e-03	-2.71373646e-04	-6.92587014e-20	1.53878026e-19	-1.89815404e-20	1.44387256e-19	-1.63368797e-19
0.257835        	3.29779889e+00	1.64889945e+00	1.64889945e+00	1.95203736e-03	7.17419250e-04	1.23461811e-03	-2.58599428e-04	-6.79610966e-20	1.52800241e-19	-1.87518858e-20	1.43424298e-19	-1.62176184e-19
0.288105        	3.20673805e+00	1.60336902e+00	1.60336902e+00	1.83853084e-03	6.67750650e-04	1.17078019e-03	-2.51514768e-04	-6.31541928e-20	1.52206307e-19	-1.39479129e-20	1.45232351e-19	-1.59180263e-19
