# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0238095        7.82037555e+02 -8.79430278e+00 2.97045899e-19 7.75029388e+02 -8.80914786e+00 -1.78653130e-18 7.00816685e+00 1.48450797e-02 2.08357720e-18
0.0502646        -3.61540120e+02 5.00906253e+00 4.56597361e-20 -3.67429408e+02 4.99919290e+00 8.84809292e-19 5.88928787e+00 9.86963204e-03 -8.39149555e-19
0.078373         1.39257086e+00 -7.79542612e-02 -2.24015097e-20 -3.93554983e+00 -8.51174702e-02 -1.23204079e-20 5.32812070e+00 7.16320897e-03 -1.00811018e-20
0.106481         6.65820784e+00 -8.75013458e-03 -1.67247803e-20 1.64053921e+00 -1.45211997e-02 -1.77275955e-20 5.01766863e+00 5.77106510e-03 1.00281524e-21
0.136752         8.16518031e+00 1.02076823e-02 1.12107293e-20 3.37819283e+00 5.41169570e-03 -1.60014417e-20 4.78698748e+00 4.79598655e-03 2.72121710e-20
0.167023         8.67905840e+00 8.82612272e-03 5.41401046e-20 4.07452524e+00 4.54255045e-03 -1.55463395e-20 4.60453317e+00 4.28357227e-03 6.96864441e-20
0.197293         8.67217923e+00 7.84361964e-03 5.15253673e-20 4.22480116e+00 4.02732734e-03 -1.51027649e-20 4.44737807e+00 3.81629230e-03 6.66281322e-20
0.227564         8.47791553e+00 6.08224127e-03 4.74538511e-20 4.17021497e+00 2.70739975e-03 -1.47490432e-20 4.30770056e+00 3.37484152e-03 6.22028943e-20
0.257835         8.24449723e+00 4.88009339e-03 4.68797146e-20 4.06259957e+00 1.88530421e-03 -1.44697291e-20 4.18189766e+00 2.99478918e-03 6.13494437e-20
0.288105         8.01684511e+00 4.59632709e-03 3.48697822e-20 3.94987901e+00 1.94228109e-03 -1.42087549e-20 4.06696611e+00 2.65404601e-03 4.90785371e-20
0.323421         7.77031480e+00 3.80647075e-03 -1.68059532e-20 3.82604875e+00 1.49071866e-03 -1.36895616e-20 3.94426606e+00 2.31575209e-03 -3.11639164e-21
0.358737         7.55011130e+00 2.83069870e-03 -6.81520638e-20 3.71797521e+00 7.92793449e-04 -1.33998736e-20 3.83213610e+00 2.03790525e-03 -5.47521902e-20
0.394053         7.35096640e+00 2.59847013e-03 -1.28224332e-19 3.62220362e+00 7.96424113e-04 -1.30481094e-20 3.72876279e+00 1.80204602e-03 -1.15176223e-19
0.429368         7.16785388e+00 2.15391674e-03 -1.79058498e-19 3.53506332e+00 5.58578056e-04 -1.26445789e-20 3.63279055e+00 1.59533868e-03 -1.66413919e-19
0.464684         6.99826207e+00 2.12016649e-03 -2.20632823e-19 3.45513710e+00 7.02210653e-04 -1.22945737e-20 3.54312497e+00 1.41795584e-03 -2.08338250e-19
0.5              6.84049514e+00 1.55776040e-03 -2.60487102e-19 3.38147517e+00 2.98237568e-04 -1.19964844e-20 3.45901997e+00 1.25952283e-03 -2.48490617e-19
0.535714         6.69206822e+00 1.58518379e-03 -2.93600194e-19 3.31314506e+00 4.65016373e-04 -1.17016176e-20 3.37892316e+00 1.12016742e-03 -2.81898576e-19
0.571429         6.55347024e+00 1.31472220e-03 -3.34300500e-19 3.25027084e+00 3.17315020e-04 -1.14449792e-20 3.30319939e+00 9.97407175e-04 -3.22855521e-19
0.607143         6.42320018e+00 1.23821386e-03 -3.62055245e-19 3.19181993e+00 3.49242176e-04 -1.12512489e-20 3.23138025e+00 8.88971684e-04 -3.50803996e-19
0.642857         6.30165083e+00 1.15699163e-03 -3.92460236e-19 3.13851336e+00 3.67763111e-04 -1.10014547e-20 3.16313747e+00 7.89228522e-04 -3.81458781e-19
0.678571         6.18685853e+00 9.07880136e-04 -4.30122219e-19 3.08868754e+00 2.05024656e-04 -1.08510075e-20 3.09817100e+00 7.02855480e-04 -4.19271211e-19
0.714286         6.07955576e+00 7.79399117e-04 -4.63026070e-19 3.04329562e+00 1.55126765e-04 -1.07005227e-20 3.03626014e+00 6.24272352e-04 -4.52325548e-19
0.75             5.97812540e+00 7.99474430e-04 -4.85098084e-19 3.00089479e+00 2.44406726e-04 -1.05758982e-20 2.97723061e+00 5.55067704e-04 -4.74522186e-19
0.785714         5.88316841e+00 6.76629576e-04 -5.92678314e-19 2.96225555e+00 1.83207038e-04 -1.04102984e-20 2.92091285e+00 4.93422538e-04 -5.82268016e-19
0.821429         5.79372833e+00 6.14693107e-04 -6.98324671e-19 2.92667876e+00 1.76365844e-04 -1.02871903e-20 2.86704957e+00 4.38327262e-04 -6.88037481e-19
0.857143         5.70954658e+00 5.71707996e-04 -7.87836603e-19 2.89411028e+00 1.83763665e-04 -1.01966102e-20 2.81543630e+00 3.87944331e-04 -7.77639993e-19
0.892857         5.62968042e+00 5.15336836e-04 -8.72363431e-19 2.86370807e+00 1.73222693e-04 -1.01072351e-20 2.76597235e+00 3.42114143e-04 -8.62256196e-19
0.928571         5.55504748e+00 4.94331909e-04 -9.49985004e-19 2.83655263e+00 1.93752735e-04 -9.90657765e-21 2.71849485e+00 3.00579174e-04 -9.40078426e-19
0.964286         5.48338020e+00 4.39893100e-04 -1.02236938e-18 2.81047696e+00 1.76869098e-04 -9.73613569e-21 2.67290325e+00 2.63024002e-04 -1.01263325e-18
1                5.41620223e+00 3.60270099e-04 -1.09050852e-18 2.78711940e+00 1.30005677e-04 -9.51904942e-21 2.62908283e+00 2.30264422e-04 -1.08098947e-18
1.03571          5.35274165e+00 4.07434492e-04 -1.15633471e-18 2.76569058e+00 2.07817163e-04 -9.27376310e-21 2.58705106e+00 1.99617329e-04 -1.14706095e-18
1.07143          5.29196486e+00 3.67845712e-04 -1.22146444e-18 2.74532807e+00 1.95633372e-04 -9.04767170e-21 2.54663678e+00 1.72212340e-04 -1.21241677e-18
1.10714          5.23525292e+00 3.09067224e-04 -1.28172070e-18 2.72749721e+00 1.61515682e-04 -8.76529323e-21 2.50775571e+00 1.47551542e-04 -1.27295541e-18
1.14286          5.18112695e+00 3.23263289e-04 -1.34197848e-18 2.71076870e+00 1.96648266e-04 -8.48127040e-21 2.47035824e+00 1.26615023e-04 -1.33349721e-18
1.17857          5.12928962e+00 2.84635591e-04 -1.40218516e-18 2.69494719e+00 1.78217700e-04 -8.22765182e-21 2.43434243e+00 1.06417892e-04 -1.39395751e-18
1.21429          5.08054006e+00 2.80353523e-04 -1.45627664e-18 2.68085468e+00 1.91014511e-04 -7.97440054e-21 2.39968538e+00 8.93390117e-05 -1.44830224e-18
1.25             5.03448759e+00 2.59674352e-04 -1.45393673e-18 2.66816460e+00 1.87180306e-04 -7.73692578e-21 2.36632299e+00 7.24940452e-05 -1.44619981e-18
1.28571          4.99077877e+00 2.56491008e-04 -1.39862178e-18 2.65657265e+00 1.96951844e-04 -7.55076593e-21 2.33420612e+00 5.95391641e-05 -1.39107101e-18
1.32143          4.94898893e+00 2.44130889e-04 -1.35324565e-18 2.64575376e+00 1.97846553e-04 -7.36632137e-21 2.30323517e+00 4.62843352e-05 -1.34587933e-18
