# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.0238095        -2.96659029e-18 -3.65848171e-17 1.65321102e-03 -3.50344852e-18 -3.61762927e-17 -5.92130448e-13 5.36858238e-19 -4.08524387e-19 1.65321102e-03
0.0502646        8.32469277e-19 2.11660103e-17 2.35971515e-03 1.84549402e-18 2.07427389e-17 -2.37409223e-12 -1.01302474e-18 4.23271416e-19 2.35971516e-03
0.078373         -1.07265319e-18 2.22276777e-18 2.14061311e-03 -4.82930010e-19 2.01585110e-18 5.77083810e-13 -5.89723175e-19 2.06916677e-19 2.14061311e-03
0.106481         -1.03919234e-18 2.04342153e-18 2.36341772e-03 -4.74049897e-19 1.83402041e-18 7.50498145e-13 -5.65142442e-19 2.09401117e-19 2.36341772e-03
0.136752         -8.35904578e-19 1.98073775e-18 2.46419599e-03 -2.81280260e-19 1.76477283e-18 6.67573111e-13 -5.54624317e-19 2.15964921e-19 2.46419599e-03
0.167023         -8.50044498e-19 1.96612173e-18 3.39930918e-03 -3.05944965e-19 1.72753269e-18 8.66911625e-14 -5.44099533e-19 2.38589036e-19 3.39930918e-03
0.197293         -8.94802925e-19 1.93107398e-18 3.75437227e-03 -3.42509046e-19 1.70531476e-18 -5.04937366e-13 -5.52293879e-19 2.25759218e-19 3.75437227e-03
0.227564         -8.65733767e-19 1.92347533e-18 3.39217058e-03 -3.40965807e-19 1.69132694e-18 -2.60080089e-13 -5.24767960e-19 2.32148388e-19 3.39217058e-03
0.257835         -8.49513707e-19 1.91000301e-18 3.23249285e-03 -3.36519125e-19 1.68144589e-18 -1.48754565e-13 -5.12994582e-19 2.28557121e-19 3.23249285e-03
0.288105         -7.89427411e-19 1.90257884e-18 3.14393460e-03 -3.23175132e-19 1.67245065e-18 -2.12413533e-13 -4.66252279e-19 2.30128191e-19 3.14393460e-03
0.323421         -6.02334152e-19 1.89185342e-18 3.03509862e-03 -2.99856465e-19 1.65954416e-18 -5.09809430e-13 -3.02477687e-19 2.32309261e-19 3.03509862e-03
0.358737         -4.34267567e-19 1.87677592e-18 2.69214520e-03 -2.79321373e-19 1.65316314e-18 -3.44193998e-13 -1.54946194e-19 2.23612780e-19 2.69214520e-03
0.394053         -2.77505956e-19 1.87943148e-18 2.57146706e-03 -2.59421015e-19 1.64589845e-18 -3.10667523e-13 -1.80849409e-20 2.33533028e-19 2.57146706e-03
0.429368         -1.28722237e-19 1.87816943e-18 2.44278245e-03 -2.39559097e-19 1.63753169e-18 -4.53176818e-13 1.10836860e-19 2.40637736e-19 2.44278245e-03
0.464684         9.32110923e-21 1.88827150e-18 2.31051447e-03 -2.23111750e-19 1.62959668e-18 -2.95014058e-13 2.32432859e-19 2.58674819e-19 2.31051447e-03
0.5              1.36094807e-19 1.89591080e-18 2.09011277e-03 -2.10537763e-19 1.62192266e-18 -3.21142208e-13 3.46632570e-19 2.73988140e-19 2.09011277e-03
0.535714         2.53802886e-19 1.87210324e-18 1.97605992e-03 -2.00682092e-19 1.61448751e-18 -2.99626471e-13 4.54484978e-19 2.57615731e-19 1.97605992e-03
